MPIO,AÑO,Población_menor,Cantidad,tasa
05001,2019,146601,0,0.0
05002,2019,1306,0,0.0
05004,2019,214,0,0.0
05021,2019,424,0,0.0
05030,2019,2010,0,0.0
05031,2019,2158,0,0.0
05034,2019,3162,0,0.0
05036,2019,403,0,0.0
05038,2019,975,0,0.0
05040,2019,1940,0,0.0
05042,2019,1948,0,0.0
05044,2019,625,0,0.0
05045,2019,11369,1,8.8
05051,2019,3231,1,30.95
05055,2019,677,0,0.0
05059,2019,330,0,0.0
05079,2019,3281,0,0.0
05086,2019,492,0,0.0
05088,2019,35013,0,0.0
05091,2019,797,0,0.0
05093,2019,1381,0,0.0
05101,2019,1859,0,0.0
05107,2019,840,0,0.0
05113,2019,923,0,0.0
05120,2019,3733,0,0.0
05125,2019,807,0,0.0
05129,2019,4430,0,0.0
05134,2019,819,0,0.0
05138,2019,1249,0,0.0
05142,2019,351,0,0.0
05145,2019,283,0,0.0
05147,2019,4856,1,20.59
05148,2019,4979,0,0.0
05150,2019,180,0,0.0
05154,2019,9435,0,0.0
05172,2019,5730,0,0.0
05190,2019,641,0,0.0
05197,2019,1371,0,0.0
05206,2019,342,0,0.0
05209,2019,1490,0,0.0
05212,2019,4344,0,0.0
05234,2019,3122,0,0.0
05237,2019,1468,0,0.0
05240,2019,712,0,0.0
05250,2019,6211,0,0.0
05264,2019,946,0,0.0
05266,2019,10628,0,0.0
05282,2019,1383,0,0.0
05284,2019,2433,0,0.0
05306,2019,526,0,0.0
05308,2019,3269,0,0.0
05310,2019,618,0,0.0
05313,2019,1002,0,0.0
05315,2019,503,0,0.0
05318,2019,3827,0,0.0
05321,2019,589,0,0.0
05347,2019,301,0,0.0
05353,2019,411,0,0.0
05360,2019,16115,0,0.0
05361,2019,2044,0,0.0
05364,2019,976,1,102.46
05368,2019,801,0,0.0
05376,2019,4078,0,0.0
05380,2019,4214,0,0.0
05390,2019,555,0,0.0
05400,2019,1594,0,0.0
05411,2019,744,0,0.0
05425,2019,759,0,0.0
05440,2019,5145,0,0.0
05467,2019,433,0,0.0
05475,2019,942,0,0.0
05480,2019,1857,2,107.7
05483,2019,802,0,0.0
05490,2019,5113,1,19.56
05495,2019,3281,0,0.0
05501,2019,248,0,0.0
05541,2019,1639,0,0.0
05543,2019,865,0,0.0
05576,2019,641,0,0.0
05579,2019,3062,0,0.0
05585,2019,1167,0,0.0
05591,2019,1651,0,0.0
05604,2019,3106,0,0.0
05607,2019,1506,0,0.0
05615,2019,8328,0,0.0
05628,2019,996,0,0.0
05631,2019,4947,0,0.0
05642,2019,1414,0,0.0
05647,2019,738,0,0.0
05649,2019,1308,0,0.0
05652,2019,598,0,0.0
05656,2019,1127,0,0.0
05658,2019,324,0,0.0
05659,2019,2505,0,0.0
05660,2019,1346,0,0.0
05664,2019,1703,0,0.0
05665,2019,3186,0,0.0
05667,2019,1208,0,0.0
05670,2019,1741,0,0.0
05674,2019,1668,0,0.0
05679,2019,1518,0,0.0
05686,2019,3079,0,0.0
05690,2019,824,0,0.0
05697,2019,3476,0,0.0
05736,2019,3760,0,0.0
05756,2019,2725,0,0.0
05761,2019,1096,0,0.0
05789,2019,905,0,0.0
05790,2019,3033,0,0.0
05792,2019,412,0,0.0
05809,2019,576,0,0.0
05819,2019,496,0,0.0
05837,2019,14928,2,13.4
05842,2019,695,0,0.0
05847,2019,3033,0,0.0
05854,2019,1447,0,0.0
05856,2019,430,0,0.0
05858,2019,926,0,0.0
05861,2019,549,0,0.0
05873,2019,1411,0,0.0
05885,2019,643,0,0.0
05887,2019,3244,1,30.83
05890,2019,1735,0,0.0
05893,2019,2416,0,0.0
05895,2019,3174,0,0.0
08001,2019,96001,4,4.17
08078,2019,5375,0,0.0
08137,2019,2322,0,0.0
08141,2019,1704,0,0.0
08296,2019,6140,0,0.0
08372,2019,1869,0,0.0
08421,2019,2872,1,34.82
08433,2019,12405,0,0.0
08436,2019,2218,1,45.09
08520,2019,2617,0,0.0
08549,2019,608,0,0.0
08558,2019,1587,0,0.0
08560,2019,2498,1,40.03
08573,2019,4033,0,0.0
08606,2019,2583,1,38.71
08634,2019,3040,0,0.0
08638,2019,9057,1,11.04
08675,2019,1626,0,0.0
08685,2019,2474,0,0.0
08758,2019,56197,5,8.9
08770,2019,1220,0,0.0
08832,2019,1592,0,0.0
08849,2019,1037,0,0.0
11001,2019,486341,3,0.62
13001,2019,85499,6,7.02
13006,2019,2598,0,0.0
13030,2019,1324,0,0.0
13042,2019,786,0,0.0
13052,2019,6679,0,0.0
13062,2019,826,0,0.0
13074,2019,1728,1,57.87
13140,2019,2195,0,0.0
13160,2019,836,0,0.0
13188,2019,1516,0,0.0
13212,2019,1558,0,0.0
13222,2019,1608,0,0.0
13244,2019,6979,1,14.33
13248,2019,711,0,0.0
13268,2019,845,0,0.0
13300,2019,1359,0,0.0
13430,2019,12875,3,23.3
13433,2019,2566,0,0.0
13440,2019,984,0,0.0
13442,2019,4920,0,0.0
13458,2019,2169,0,0.0
13468,2019,4424,1,22.6
13473,2019,2577,0,0.0
